StudentID,FirstName,LastName,Gender,Age,Email,Phone,Department,Year,GPA,City
S1000,David,Pham,Male,18,lindseycarter@yahoo.com,387-153-9520x2392,Electrical,Final,8.34,East Abigailshire
S1001,Melissa,Webb,Female,24,jonalexander@padilla.biz,(531)913-4735x141,Civil,Final,5.23,Brittanyton
S1002,Kevin,Mckinney,Male,24,yangjoseph@walters.biz,418.169.7413,Mechanical,First,9.5,West Jessica
S1003,Jason,Davis,Female,18,jchang@yahoo.com,037.007.8437,Electronics,Final,6.33,Singletonside
S1004,Victor,Zavala,Female,22,kellyalejandra@lopez-horn.com,001-679-256-1662x193,Electronics,First,6.23,Port Gabriel
S1005,Justin,Tate,Female,19,edward14@gill.com,+1-372-390-4650x11191,Electronics,Third,6.7,Shawnside
S1006,Andrew,Stevens,Female,19,kevinochoa@hotmail.com,872.947.9114,Electrical,Final,9.04,Port Barryborough
S1007,Jessica,Rodriguez,Female,22,zbaker@hotmail.com,726-142-8806x673,Electrical,Final,9.47,Millerhaven
S1008,Eric,Sosa,Female,20,unguyen@yahoo.com,776-772-5078x257,Mechanical,Second,9.01,Russellberg
S1009,Curtis,Smith,Female,22,conleyerin@garcia.com,(910)236-1146x63636,Civil,Final,9.65,Alexandermouth
S1010,Angie,Schneider,Female,24,lisa79@yahoo.com,012-278-1174x42675,Computer Science,Final,5.76,Lake Michael
S1011,Jacob,Anderson,Female,18,ronaldking@jensen.biz,+1-116-210-6653x913,Computer Science,Third,8.17,Martinezberg
S1012,Karen,Tran,Male,18,jalvarez@ryan.com,(388)752-5084x6347,Civil,First,6.07,West Kevinburgh
S1013,David,Sanchez,Male,23,hansenmarc@johnson.info,(825)683-4100,Electronics,Final,9.85,Stephanieberg
S1014,Ryan,Strickland,Male,18,thompsonbreanna@yahoo.com,191-954-3397,Computer Science,Final,9.18,Woodsville
S1015,Bobby,Roberts,Male,23,jshannon@mccormick-stewart.biz,001-034-784-8113x9584,Mechanical,First,8.37,Lake Michael
S1016,Tara,Bailey,Female,24,hannahpatterson@yahoo.com,001-437-127-2518x077,Computer Science,Final,7.01,Lake Tina
S1017,Alexander,Gentry,Female,19,gilmoreomar@mitchell.com,(736)583-5028,Electronics,First,8.03,West Barry
S1018,Jason,Preston,Male,19,mirandadaniel@gmail.com,001-083-461-7404x31606,Electrical,Final,8.58,Port Kelly
S1019,Taylor,Ward,Female,21,clayton23@hanson-jones.info,+1-856-215-1551x490,Electrical,Final,6.6,Holmesside
S1020,Brian,Owen,Female,21,kim56@jones.com,829-429-0806x99637,Civil,Third,5.76,South James
S1021,Todd,Esparza,Female,18,samanthawells@yahoo.com,595-824-0819x759,Mechanical,First,8.29,Port Victoriachester
S1022,Carolyn,Vega,Male,22,thiggins@evans.com,858.554.5064,Mechanical,First,8.25,Pearsonfort
S1023,Marissa,Walsh,Female,18,stephanieharmon@hotmail.com,1806728439,Computer Science,First,5.32,East Jamesside
